,prod_est,coverage,type,year,month,concept,value_usd,status
0,Trade Balance of Goods of Mexico,National,Exports,2012,1,Total Exports,27281.577,Final Figures
1,Trade Balance of Goods of Mexico,National,Exports,2012,1,Petroleum,4628.295,Final Figures
2,Trade Balance of Goods of Mexico,National,Exports,2012,1,Crude Oil,4008.115,Final Figures
3,Trade Balance of Goods of Mexico,National,Exports,2012,1,Other Oil,620.18,Final Figures
4,Trade Balance of Goods of Mexico,National,Exports,2012,1,Non Petroleum,22653.282,Final Figures
5,Trade Balance of Goods of Mexico,National,Exports,2012,1,Agrarian,1065.84,Final Figures
6,Trade Balance of Goods of Mexico,National,Exports,2012,1,Extractive,377.527,Final Figures
7,Trade Balance of Goods of Mexico,National,Exports,2012,1,Manufacturing,21209.915,Final Figures
8,Trade Balance of Goods of Mexico,National,Imports,2012,1,Total Imports,27548.995,Final Figures
9,Trade Balance of Goods of Mexico,National,Imports,2012,1,Freight and insurance of imports,745.806,Final Figures
10,Trade Balance of Goods of Mexico,National,Imports,2012,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),28294.801,Final Figures
11,Trade Balance of Goods of Mexico,National,Imports,2012,1,Petroleum,3190.839,Final Figures
12,Trade Balance of Goods of Mexico,National,Imports,2012,1,Non Petroleum,24358.156,Final Figures
13,Trade Balance of Goods of Mexico,National,Imports,2012,1,Consumer Goods,4095.232,Final Figures
14,Trade Balance of Goods of Mexico,National,Imports,2012,1,Intermediate Goods,20499.78,Final Figures
15,Trade Balance of Goods of Mexico,National,Imports,2012,1,Capital Goods,2953.984,Final Figures
16,Trade Balance of Goods of Mexico,National,Not applicable,2012,1,Total Trade Balance Exports Total - Imports Total,-267.418,Final Figures
17,Trade Balance of Goods of Mexico,National,Not applicable,2012,1,Total Trade Balance Exports Total - Imports Total CIF,-1013.224,Final Figures
18,Trade Balance of Goods of Mexico,National,Exports,2012,2,Total Exports,30015.345,Final Figures
19,Trade Balance of Goods of Mexico,National,Exports,2012,2,Petroleum,4570.34,Final Figures
20,Trade Balance of Goods of Mexico,National,Exports,2012,2,Crude Oil,3927.276,Final Figures
21,Trade Balance of Goods of Mexico,National,Exports,2012,2,Other Oil,643.064,Final Figures
22,Trade Balance of Goods of Mexico,National,Exports,2012,2,Non Petroleum,25445.005,Final Figures
23,Trade Balance of Goods of Mexico,National,Exports,2012,2,Agrarian,1038.773,Final Figures
