prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Exports,2012,1,Total Exports,27281.577,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Petroleum,4628.295,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Crude Oil,4008.115,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Other Oil,620.18,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Non Petroleum,22653.282,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Agrarian,1065.84,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Extractive,377.527,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,1,Manufacturing,21209.915,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Total Imports,27548.995,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Freight and insurance of imports,745.806,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),28294.801,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Petroleum,3190.839,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Non Petroleum,24358.156,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Consumer Goods,4095.232,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Intermediate Goods,20499.78,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,1,Capital Goods,2953.984,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,1,Total Trade Balance Exports Total - Imports Total,-267.418,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,1,Total Trade Balance Exports Total - Imports Total CIF,-1013.224,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,2,Total Exports,30015.345,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,2,Petroleum,4570.34,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,2,Crude Oil,3927.276,Final Figures
