prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Exports,2022,1,Total Exports,33923.041,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Petroleum,2491.027,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Crude Oil,2022.813,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Other Oil,468.214,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Non Petroleum,31432.014,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Agrarian,1748.111,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Extractive,597.741,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,1,Manufacturing,29086.162,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Total Imports,40185.365,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Freight and insurance of imports,1527.7083,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),41713.0733,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Petroleum,4601.434,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Non Petroleum,35583.931,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Consumer Goods,5408.306,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Intermediate Goods,31340.621,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,1,Capital Goods,3436.437,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,1,Total Trade Balance Exports Total - Imports Total,-6262.324,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,1,Total Trade Balance Exports Total - Imports Total CIF,-7790.0323,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Total Exports,46288.481,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Petroleum,2828.801,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Crude Oil,2272.994,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Other Oil,555.807,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Non Petroleum,43459.681,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Agrarian,1917.736,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Extractive,908.645,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,2,Manufacturing,40633.3,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Total Imports,44953.077,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Freight and insurance of imports,1600.334,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Total Imports CIF (Total Imports + Freight and Insurance of Imports),46553.411,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Petroleum,4323.996,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Non Petroleum,40629.081,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Consumer Goods,5418.705,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Intermediate Goods,36283.338,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,2,Capital Goods,3251.034,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,2,Total Trade Balance Exports Total - Imports Total,1335.404,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,2,Total Trade Balance Exports Total - Imports Total CIF,-264.93,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Total Exports,51948.842,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Petroleum,3568.784,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Crude Oil,2814.637,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Other Oil,754.147,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Non Petroleum,48380.058,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Agrarian,2248.866,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Extractive,918.31,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,3,Manufacturing,45212.882,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Total Imports,51801.683,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Freight and insurance of imports,1856.0387,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Total Imports CIF (Total Imports + Freight and Insurance of Imports),53657.7217,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Petroleum,5673.106,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Non Petroleum,46128.577,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Consumer Goods,6765.069,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Intermediate Goods,40997.412,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,3,Capital Goods,4039.202,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,3,Total Trade Balance Exports Total - Imports Total,147.159,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,3,Total Trade Balance Exports Total - Imports Total CIF,-1708.8797,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Total Exports,47580.499,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Petroleum,3894.135,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Crude Oil,3191.885,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Other Oil,702.249,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Non Petroleum,43686.365,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Agrarian,2099.481,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Extractive,728.69,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,4,Manufacturing,40858.194,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Total Imports,49363.532,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Freight and insurance of imports,1755.1115,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Total Imports CIF (Total Imports + Freight and Insurance of Imports),51118.6435,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Petroleum,6148.302,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Non Petroleum,43215.23,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Consumer Goods,6389.549,Final Figures
