prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Exports,2023,1,Total Exports,42609.734,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Petroleum,2715.928,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Crude Oil,2089.954,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Other Oil,625.974,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Non Petroleum,39893.806,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Agrarian,1917.375,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Extractive,654.959,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,1,Manufacturing,37321.471,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Total Imports,46715.744,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Freight and insurance of imports,1855.6553,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),48571.3993,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Petroleum,5550.557,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Non Petroleum,41165.187,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Consumer Goods,7041.733,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Intermediate Goods,35559.924,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,1,Capital Goods,4114.087,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,1,Total Trade Balance Exports Total - Imports Total,-4106.01,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,1,Total Trade Balance Exports Total - Imports Total CIF,-5961.6653,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Total Exports,44889.815,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Petroleum,2267.43,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Crude Oil,1860.83,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Other Oil,406.6,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Non Petroleum,42622.385,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Agrarian,2060.552,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Extractive,803.178,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,2,Manufacturing,39758.655,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Total Imports,46778.476,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Freight and insurance of imports,1817.0562,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Total Imports CIF (Total Imports + Freight and Insurance of Imports),48595.5322,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Petroleum,4881.196,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Non Petroleum,41897.28,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Consumer Goods,6273.97,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Intermediate Goods,36328.755,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,2,Capital Goods,4175.751,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,2,Total Trade Balance Exports Total - Imports Total,-1888.661,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,2,Total Trade Balance Exports Total - Imports Total CIF,-3705.7172,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Total Exports,53584.091,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Petroleum,2581.437,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Crude Oil,1972.158,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Other Oil,609.28,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Non Petroleum,51002.654,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Agrarian,2312.304,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Extractive,1060.756,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,3,Manufacturing,47629.593,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Total Imports,52388.861,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Freight and insurance of imports,2003.1627,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Total Imports CIF (Total Imports + Freight and Insurance of Imports),54392.0237,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Petroleum,5209.385,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Non Petroleum,47179.476,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Consumer Goods,7419.845,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Intermediate Goods,40046.499,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,3,Capital Goods,4922.517,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,3,Total Trade Balance Exports Total - Imports Total,1195.23,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,3,Total Trade Balance Exports Total - Imports Total CIF,-807.9327,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Total Exports,46224.226,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Petroleum,2617.417,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Crude Oil,2134.779,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Other Oil,482.638,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Non Petroleum,43606.809,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Agrarian,2038.415,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Extractive,860.201,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,4,Manufacturing,40708.192,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Total Imports,47732.749,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Freight and insurance of imports,1837.428,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Total Imports CIF (Total Imports + Freight and Insurance of Imports),49570.177,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Petroleum,4455.249,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Non Petroleum,43277.5,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Consumer Goods,6571.086,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Intermediate Goods,36764.591,Revised Figures
Trade Balance of Goods of Mexico,National,Imports,2023,4,Capital Goods,4397.073,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,4,Total Trade Balance Exports Total - Imports Total,-1508.523,Revised Figures
Trade Balance of Goods of Mexico,National,Not applicable,2023,4,Total Trade Balance Exports Total - Imports Total CIF,-3345.951,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Total Exports,52860.415,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Petroleum,2728.858,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Crude Oil,2270.049,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Other Oil,458.809,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Non Petroleum,50131.557,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Agrarian,2131.386,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Extractive,550.145,Revised Figures
Trade Balance of Goods of Mexico,National,Exports,2023,5,Manufacturing,47450.027,Revised Figures
